a: Array(float, 2) | Array(float, 1) | Array(int, 2) | Array(int, 1) | Array(bool, 2) | Array(bool, 1) | List(float) | List(int) | List(bool) | Dict(int, float) | Dict(int, int) | Dict(int, bool) | float | int | bool | List(Array(float, 2)) | List(Array(float, 1)) | List(Array(int, 2)) | List(Array(int, 1)) | List(Array(bool, 2))
i_a: int | float | bool | List(int) | List(float) | List(bool) | Dict(int, int) | Dict(int, float) | Dict(int, bool) | List(Array(int, 2)) | List(Array(int, 1)) | List(Array(float, 2)) | List(Array(float, 1)) | List(Array(bool, 2)) | List(Array(bool, 1)) | Array(int, 2) | Array(int, 1) | Array(float, 2) | Array(float, 1) | Array(bool, 2)
b: Array(float, 2) | Array(float, 1) | Array(int, 2) | Array(int, 1) | Array(bool, 2) | Array(bool, 1) | List(float) | List(int) | List(bool) | Dict(int, float) | Dict(int, int) | Dict(int, bool) | float | int | bool | List(Array(float, 2)) | List(Array(float, 1)) | List(Array(int, 2)) | List(Array(int, 1)) | List(Array(bool, 2))
i_b: int | float | bool | List(int) | List(float) | List(bool) | Dict(int, int) | Dict(int, float) | Dict(int, bool) | List(Array(int, 2)) | List(Array(int, 1)) | List(Array(float, 2)) | List(Array(float, 1)) | List(Array(bool, 2)) | List(Array(bool, 1)) | Array(int, 2) | Array(int, 1) | Array(float, 2) | Array(float, 1) | Array(bool, 2)
DIST_FN_COUNTER: Array(int, 1) | Array(int, 2) | Array(int, 3) | Array(float, 1) | Array(float, 2) | Array(float, 3) | Array(bool, 1) | Array(bool, 2) | Array(bool, 3) | List(int) | List(float) | List(bool) | Dict(int, int) | Dict(int, float) | Dict(int, bool) | int | float | bool | List(Array(int, 1)) | List(Array(int, 2))
k2i0: Array(int, 1) | Array(int, 2) | Array(int, 3) | Array(float, 1) | Array(float, 2) | Array(float, 3) | Array(bool, 1) | Array(bool, 2) | Array(bool, 3) | List(int) | List(float) | List(bool) | Dict(int, int) | Dict(int, float) | Dict(int, bool) | int | float | bool | List(Array(int, 1)) | List(Array(int, 2))
value0: Array(int, 1) | Array(int, 2) | Array(int, 3) | Array(float, 1) | Array(float, 2) | Array(float, 3) | Array(bool, 1) | Array(bool, 2) | Array(bool, 3) | List(int) | List(float) | List(bool) | Dict(int, int) | Dict(int, float) | Dict(int, bool) | int | float | bool | List(Array(int, 1)) | List(Array(int, 2))
idx0: Array(int, 1) | Array(int, 2) | Array(int, 3) | Array(float, 1) | Array(float, 2) | Array(float, 3) | Array(bool, 1) | Array(bool, 2) | Array(bool, 3) | List(int) | List(float) | List(bool) | Dict(int, int) | Dict(int, float) | Dict(int, bool) | int | float | bool | List(Array(int, 1)) | List(Array(int, 2))
k2i1: Array(int, 1) | Array(int, 2) | Array(int, 3) | Array(float, 1) | Array(float, 2) | Array(float, 3) | Array(bool, 1) | Array(bool, 2) | Array(bool, 3) | List(int) | List(float) | List(bool) | Dict(int, int) | Dict(int, float) | Dict(int, bool) | int | float | bool | List(Array(int, 1)) | List(Array(int, 2))
value1: Array(int, 1) | Array(int, 2) | Array(int, 3) | Array(float, 1) | Array(float, 2) | Array(float, 3) | Array(bool, 1) | Array(bool, 2) | Array(bool, 3) | List(int) | List(float) | List(bool) | Dict(int, int) | Dict(int, float) | Dict(int, bool) | int | float | bool | List(Array(int, 1)) | List(Array(int, 2))
idx1: Array(int, 1) | Array(int, 2) | Array(int, 3) | Array(float, 1) | Array(float, 2) | Array(float, 3) | Array(bool, 1) | Array(bool, 2) | Array(bool, 3) | List(int) | List(float) | List(bool) | Dict(int, int) | Dict(int, float) | Dict(int, bool) | int | float | bool | List(Array(int, 1)) | List(Array(int, 2))
k2i2: Array(int, 1) | Array(int, 2) | Array(int, 3) | Array(float, 1) | Array(float, 2) | Array(float, 3) | Array(bool, 1) | Array(bool, 2) | Array(bool, 3) | List(int) | List(float) | List(bool) | Dict(int, int) | Dict(int, float) | Dict(int, bool) | int | float | bool | List(Array(int, 1)) | List(Array(int, 2))
