a: Array(float, 2) | Array(float, 1) | Array(int, 2) | Array(int, 1) | Array(bool, 2) | Array(bool, 1) | List(float) | List(int) | List(bool) | Dict(int, float) | Dict(int, int) | Dict(int, bool) | float | int | bool | List(Array(float, 1)) | List(Array(int, 1)) | List(Array(bool, 1)) | Dict(int, Array(float, 1)) | Dict(int, Array(int, 1))
i_a: int | float | bool | List(int) | List(float) | List(bool) | Dict(int, int) | Dict(int, float) | Dict(int, bool) | Array(int, 1) | Array(float, 1) | Array(bool, 1) | Array(int, 2) | Array(float, 2) | Array(bool, 2) | List(Array(int, 1)) | List(Array(float, 1)) | List(Array(bool, 1)) | Dict(int, Array(int, 1)) | Dict(int, Array(float, 1))
b: Array(float, 2) | Array(float, 1) | Array(int, 2) | Array(int, 1) | Array(bool, 2) | Array(bool, 1) | List(float) | List(int) | List(bool) | Dict(int, float) | Dict(int, int) | Dict(int, bool) | float | int | bool | List(Array(float, 1)) | List(Array(int, 1)) | List(Array(bool, 1)) | Dict(int, Array(float, 1)) | Dict(int, Array(int, 1))
i_b: int | float | bool | List(int) | List(float) | List(bool) | Dict(int, int) | Dict(int, float) | Dict(int, bool) | Array(int, 1) | Array(float, 1) | Array(bool, 1) | Array(int, 2) | Array(float, 2) | Array(bool, 2) | List(Array(int, 1)) | List(Array(float, 1)) | List(Array(bool, 1)) | Dict(int, Array(int, 1)) | Dict(int, Array(float, 1))
DIST_FN_COUNTER: List(int) | List(float) | List(bool) | Dict(int, int) | Dict(int, float) | Dict(int, bool) | Array(int, 1) | Array(float, 1) | Array(bool, 1) | Array(int, 2) | Array(float, 2) | Array(bool, 2) | int | float | bool | List(Array(int, 1)) | List(Array(float, 1)) | List(Array(bool, 1)) | Dict(int, Array(int, 1)) | Dict(int, Array(float, 1))
k2i0: Array(int, 1) | Array(int, 2) | Array(float, 1) | Array(float, 2) | Array(bool, 1) | Array(bool, 2) | List(float) | List(int) | List(bool) | Dict(int, float) | Dict(int, int) | Dict(int, bool) | float | int | bool | List(Array(float, 1)) | List(Array(int, 1)) | List(Array(bool, 1)) | Dict(int, Array(float, 1)) | Dict(int, Array(int, 1))
value0: Array(float, 1) | Array(float, 2) | Array(int, 2) | Array(int, 1) | Array(bool, 2) | Array(bool, 1) | List(float) | List(int) | List(bool) | Dict(int, float) | Dict(int, int) | Dict(int, bool) | float | int | bool | List(Array(float, 1)) | List(Array(int, 1)) | List(Array(bool, 1)) | Dict(int, Array(float, 1)) | Dict(int, Array(int, 1))
idx0: Array(int, 1) | Array(int, 2) | Array(float, 1) | Array(float, 2) | Array(bool, 1) | Array(bool, 2) | List(float) | List(int) | List(bool) | Dict(int, float) | Dict(int, int) | Dict(int, bool) | float | int | bool | List(Array(float, 1)) | List(Array(int, 1)) | List(Array(bool, 1)) | Dict(int, Array(float, 1)) | Dict(int, Array(int, 1))
k2i1: Array(int, 1) | Array(int, 2) | Array(float, 1) | Array(float, 2) | Array(bool, 1) | Array(bool, 2) | List(float) | List(int) | List(bool) | Dict(int, float) | Dict(int, int) | Dict(int, bool) | float | int | bool | List(Array(float, 1)) | List(Array(int, 1)) | List(Array(bool, 1)) | Dict(int, Array(float, 1)) | Dict(int, Array(int, 1))
value1: Array(float, 1) | Array(float, 2) | Array(int, 2) | Array(int, 1) | Array(bool, 2) | Array(bool, 1) | List(float) | List(int) | List(bool) | Dict(int, float) | Dict(int, int) | Dict(int, bool) | float | int | bool | List(Array(float, 1)) | List(Array(int, 1)) | List(Array(bool, 1)) | Dict(int, Array(float, 1)) | Dict(int, Array(int, 1))
idx1: Array(int, 1) | Array(int, 2) | Array(float, 1) | Array(float, 2) | Array(bool, 1) | Array(bool, 2) | List(float) | List(int) | List(bool) | Dict(int, float) | Dict(int, int) | Dict(int, bool) | float | int | bool | List(Array(float, 1)) | List(Array(int, 1)) | List(Array(bool, 1)) | Dict(int, Array(float, 1)) | Dict(int, Array(int, 1))
k2i2: Array(int, 1) | Array(int, 2) | Array(float, 1) | Array(float, 2) | Array(bool, 1) | Array(bool, 2) | List(float) | List(int) | List(bool) | Dict(int, float) | Dict(int, int) | Dict(int, bool) | float | int | bool | List(Array(float, 1)) | List(Array(int, 1)) | List(Array(bool, 1)) | Dict(int, Array(float, 1)) | Dict(int, Array(int, 1))
value2: Array(float, 1) | Array(float, 2) | Array(int, 2) | Array(int, 1) | Array(bool, 2) | Array(bool, 1) | List(float) | List(int) | List(bool) | Dict(int, float) | Dict(int, int) | Dict(int, bool) | float | int | bool | List(Array(float, 1)) | List(Array(int, 1)) | List(Array(bool, 1)) | Dict(int, Array(float, 1)) | Dict(int, Array(int, 1))
idx2: Array(int, 1) | Array(int, 2) | Array(float, 1) | Array(float, 2) | Array(bool, 1) | Array(bool, 2) | List(float) | List(int) | List(bool) | Dict(int, float) | Dict(int, int) | Dict(int, bool) | float | int | bool | List(Array(float, 1)) | List(Array(int, 1)) | List(Array(bool, 1)) | Dict(int, Array(float, 1)) | Dict(int, Array(int, 1))
k2i3: Array(int, 1) | Array(int, 2) | Array(float, 1) | Array(float, 2) | Array(bool, 1) | Array(bool, 2) | List(float) | List(int) | List(bool) | Dict(int, float) | Dict(int, int) | Dict(int, bool) | float | int | bool | List(Array(float, 1)) | List(Array(int, 1)) | List(Array(bool, 1)) | Dict(int, Array(float, 1)) | Dict(int, Array(int, 1))
value3: Array(float, 1) | Array(float, 2) | Array(int, 2) | Array(int, 1) | Array(bool, 2) | Array(bool, 1) | List(float) | List(int) | List(bool) | Dict(int, float) | Dict(int, int) | Dict(int, bool) | float | int | bool | List(Array(float, 1)) | List(Array(int, 1)) | List(Array(bool, 1)) | Dict(int, Array(float, 1)) | Dict(int, Array(int, 1))
