K: Array(float, 2) | Array(int, 2) | List(List(float)) | List(List(int)) | Array(float, 3) | Array(int, 3) | List(Array(float, 2)) | List(Array(int, 2)) | Dict(int, List(float)) | Dict(int, List(int)) | Array(float, 1) | Array(int, 1) | List(Array(float, 1)) | List(Array(int, 1)) | Dict(int, Array(float, 2)) | Dict(int, Array(int, 2)) | Dict(int, Array(float, 1)) | Dict(int, Array(int, 1)) | List(List(Array(float, 2))) | List(List(Array(int, 2)))

M: Array(float, 2) | Array(int, 2) | List(List(float)) | List(List(int)) | Array(float, 3) | Array(int, 3) | List(Array(float, 2)) | List(Array(int, 2)) | Dict(int, List(float)) | Dict(int, List(int)) | Array(float, 1) | Array(int, 1) | List(Array(float, 1)) | List(Array(int, 1)) | Dict(int, Array(float, 2)) | Dict(int, Array(int, 2)) | Dict(int, Array(float, 1)) | Dict(int, Array(int, 1)) | List(List(Array(float, 2))) | List(List(Array(int, 2)))

r: Array(float, 1) | Array(int, 1) | List(float) | List(int) | Array(float, 2) | Array(int, 2) | List(Array(float, 1)) | List(Array(int, 1)) | Dict(int, List(float)) | Dict(int, List(int)) | Array(float, 3) | Array(int, 3) | List(Array(float, 2)) | List(Array(int, 2)) | Dict(int, Array(float, 2)) | Dict(int, Array(int, 2)) | Dict(int, Array(float, 1)) | Dict(int, Array(int, 1)) | List(List(Array(float, 2))) | List(List(Array(int, 2)))

x: Array(float, 1) | Array(int, 1) | List(float) | List(int) | Array(float, 2) | Array(int, 2) | List(Array(float, 1)) | List(Array(int, 1)) | Dict(int, List(float)) | Dict(int, List(int)) | Array(float, 3) | Array(int, 3) | List(Array(float, 2)) | List(Array(int, 2)) | Dict(int, Array(float, 2)) | Dict(int, Array(int, 2)) | Dict(int, Array(float, 1)) | Dict(int, Array(int, 1)) | List(List(Array(float, 2))) | List(List(Array(int, 2)))

max_iter: int | float | bool | List(int) | List(float) | List(bool) | Array(int, 1) | Array(float, 1) | Array(bool, 1) | Dict(int, int) | Dict(int, float) | Dict(int, bool) | Array(int, 2) | Array(float, 2) | Array(bool, 2) | List(Array(int, 1)) | List(Array(float, 1)) | List(Array(bool, 1)) | Dict(int, Array(int, 1)) | Dict(int, Array(float, 1))

values: Array(float, 1) | Array(int, 1) | List(float) | List(int) | Array(float, 2) | Array(int, 2) | List(Array(float, 1)) | List(Array(int, 1)) | Dict(int, List(float)) | Dict(int, List(int)) | Array(float, 3) | Array(int, 3) | List(Array(float, 2)) | List(Array(int, 2)) | Dict(int, Array(float, 2)) | Dict(int, Array(int, 2)) | Dict(int, Array(float, 1)) | Dict(int, Array(int, 1)) | List(List(Array(float, 2))) | List(List(Array(int, 2)))

columns: Array(int, 1) | Array(float, 1) | List(int) | List(float) | Array(int, 2) | Array(float, 2) | List(Array(int, 1)) | List(Array(float, 1)) | Dict(int, List(int)) | Dict(int, List(float)) | Array(int, 3) | Array(float, 3) | List(Array(int, 2)) | List(Array(float, 2)) | Dict(int, Array(int, 2)) | Dict(int, Array(float, 2)) | Dict(int, Array(int, 1)) | Dict(int, Array(float, 1)) | List(List(Array(int, 2))) | List(List(Array(float, 2)))

indexes: Array(int, 1) | Array(float, 1) | List(int) | List(float) | Array(int, 2) | Array(float, 2) | List(Array(int, 1)) | List(Array(float, 1)) | Dict(int, List(int)) | Dict(int, List(float)) | Array(int, 3) | Array(float, 3) | List(Array(int, 2)) | List(Array(float, 2)) | Dict(int, Array(int, 2)) | Dict(int, Array(float, 2)) | Dict(int, Array(int, 1)) | Dict(int, Array(float, 1)) | List(List(Array(int, 2))) | List(List(Array(float, 2)))

ncols_c: int | float | bool | List(int) | List(float) | List(bool) | Array(int, 1) | Array(float, 1) | Array(bool, 1) | Dict(int, int) | Dict(int, float) | Dict(int, bool) | Array(int, 2) | Array(float, 2) | Array(bool, 2) | List(Array(int, 1)) | List(Array(float, 1)) | List(Array(bool, 1)) | Dict(int, Array(int, 1)) | Dict(int, Array(float, 1))
